,param,candle,stoch,pivot,decision
213,param1 alt,bearish,nu,s1-s2,no_trade
214,param1 alt,bearish,nu,s2-s3,no_trade
215,param1 alt,bearish,nu,< s3,no_trade
216,param2,bullish,ob,> r3,no_trade
217,param2,bullish,ob,r3-r2,no_trade
218,param2,bullish,ob,r2-pdh,no_trade
219,param2,bullish,ob,r2-r1,no_trade
220,param2,bullish,ob,pdh-r1,no_trade
221,param2,bullish,ob,r1-pdh,no_trade
222,param2,bullish,ob,r1-tc,no_trade
223,param2,bullish,ob,pdh-tc,no_trade
224,param2,bullish,ob,tc-pp,no_trade
225,param2,bullish,ob,pp-bc,no_trade
226,param2,bullish,ob,bc-pdl,no_trade
227,param2,bullish,ob,bc-s1,no_trade
228,param2,bullish,ob,pdl-s1,no_trade
229,param2,bullish,ob,s1-pdl,no_trade
230,param2,bullish,ob,pdl-s2,no_trade
231,param2,bullish,ob,s1-s2,no_trade
232,param2,bullish,ob,s2-s3,no_trade
233,param2,bullish,ob,< s3,no_trade
234,param2,bullish,os,> r3,no_trade
235,param2,bullish,os,r3-r2,no_trade
236,param2,bullish,os,r2-pdh,no_trade
237,param2,bullish,os,r2-r1,no_trade
238,param2,bullish,os,pdh-r1,no_trade
239,param2,bullish,os,r1-pdh,no_trade
240,param2,bullish,os,r1-tc,no_trade
241,param2,bullish,os,pdh-tc,no_trade
242,param2,bullish,os,tc-pp,no_trade
243,param2,bullish,os,pp-bc,no_trade
244,param2,bullish,os,bc-pdl,no_trade
245,param2,bullish,os,bc-s1,no_trade
246,param2,bullish,os,pdl-s1,no_trade
247,param2,bullish,os,s1-pdl,no_trade
248,param2,bullish,os,pdl-s2,no_trade
249,param2,bullish,os,s1-s2,no_trade
250,param2,bullish,os,s2-s3,no_trade
251,param2,bullish,os,< s3,no_trade
252,param2,bullish,nu,> r3,no_trade
253,param2,bullish,nu,r3-r2,no_trade
254,param2,bullish,nu,r2-pdh,no_trade
255,param2,bullish,nu,r2-r1,no_trade
256,param2,bullish,nu,pdh-r1,no_trade
257,param2,bullish,nu,r1-pdh,no_trade
258,param2,bullish,nu,r1-tc,sell
259,param2,bullish,nu,pdh-tc,sell
260,param2,bullish,nu,tc-pp,buy
261,param2,bullish,nu,pp-bc,no_trade
262,param2,bullish,nu,bc-pdl,no_trade
263,param2,bullish,nu,bc-s1,no_trade
264,param2,bullish,nu,pdl-s1,no_trade
265,param2,bullish,nu,s1-pdl,no_trade
266,param2,bullish,nu,pdl-s2,no_trade
267,param2,bullish,nu,s1-s2,no_trade
268,param2,bullish,nu,s2-s3,no_trade
269,param2,bullish,nu,< s3,no_trade
270,param2,bearish,ob,> r3,no_trade
271,param2,bearish,ob,r3-r2,no_trade
272,param2,bearish,ob,r2-pdh,no_trade
273,param2,bearish,ob,r2-r1,no_trade
274,param2,bearish,ob,pdh-r1,no_trade
275,param2,bearish,ob,r1-pdh,no_trade
276,param2,bearish,ob,r1-tc,no_trade
277,param2,bearish,ob,pdh-tc,sell
278,param2,bearish,ob,tc-pp,no_trade
279,param2,bearish,ob,pp-bc,buy
280,param2,bearish,ob,bc-pdl,no_trade
281,param2,bearish,ob,bc-s1,no_trade
282,param2,bearish,ob,pdl-s1,buy
283,param2,bearish,ob,s1-pdl,no_trade
284,param2,bearish,ob,pdl-s2,no_trade
285,param2,bearish,ob,s1-s2,no_trade
286,param2,bearish,ob,s2-s3,no_trade
287,param2,bearish,ob,< s3,no_trade
288,param2,bearish,os,> r3,no_trade
289,param2,bearish,os,r3-r2,no_trade
290,param2,bearish,os,r2-pdh,no_trade
291,param2,bearish,os,r2-r1,no_trade
292,param2,bearish,os,pdh-r1,no_trade
293,param2,bearish,os,r1-pdh,no_trade
294,param2,bearish,os,r1-tc,no_trade
295,param2,bearish,os,pdh-tc,no_trade
296,param2,bearish,os,tc-pp,no_trade
297,param2,bearish,os,pp-bc,no_trade
298,param2,bearish,os,bc-pdl,no_trade
299,param2,bearish,os,bc-s1,no_trade
