,param,candle,stoch,pivot,decision
253,param2,bullish,nu,r3-r2,sell
254,param2,bullish,nu,r2-pdh,sell
255,param2,bullish,nu,r2-r1,sell
256,param2,bullish,nu,pdh-r1,sell
257,param2,bullish,nu,r1-pdh,sell
258,param2,bullish,nu,r1-tc,sell
259,param2,bullish,nu,pdh-tc,sell
260,param2,bullish,nu,tc-pp,buy
261,param2,bullish,nu,pp-bc,sell
262,param2,bullish,nu,bc-pdl,buy
263,param2,bullish,nu,bc-s1,sell
264,param2,bullish,nu,pdl-s1,sell
265,param2,bullish,nu,s1-pdl,sell
266,param2,bullish,nu,pdl-s2,sell
267,param2,bullish,nu,s1-s2,sell
268,param2,bullish,nu,s2-s3,sell
269,param2,bullish,nu,< s3,sell
270,param2,bearish,ob,> r3,buy
271,param2,bearish,ob,r3-r2,buy
272,param2,bearish,ob,r2-pdh,buy
273,param2,bearish,ob,r2-r1,buy
274,param2,bearish,ob,pdh-r1,buy
275,param2,bearish,ob,r1-pdh,buy
276,param2,bearish,ob,r1-tc,buy
277,param2,bearish,ob,pdh-tc,buy
278,param2,bearish,ob,tc-pp,buy
279,param2,bearish,ob,pp-bc,buy
280,param2,bearish,ob,bc-pdl,buy
281,param2,bearish,ob,bc-s1,buy
282,param2,bearish,ob,pdl-s1,buy
283,param2,bearish,ob,s1-pdl,buy
284,param2,bearish,ob,pdl-s2,buy
285,param2,bearish,ob,s1-s2,buy
286,param2,bearish,ob,s2-s3,buy
287,param2,bearish,ob,< s3,buy
288,param2,bearish,os,> r3,buy
289,param2,bearish,os,r3-r2,buy
290,param2,bearish,os,r2-pdh,buy
291,param2,bearish,os,r2-r1,buy
292,param2,bearish,os,pdh-r1,buy
293,param2,bearish,os,r1-pdh,buy
294,param2,bearish,os,r1-tc,buy
295,param2,bearish,os,pdh-tc,buy
296,param2,bearish,os,tc-pp,buy
297,param2,bearish,os,pp-bc,buy
298,param2,bearish,os,bc-pdl,buy
299,param2,bearish,os,bc-s1,buy
300,param2,bearish,os,pdl-s1,buy
301,param2,bearish,os,s1-pdl,buy
302,param2,bearish,os,pdl-s2,buy
303,param2,bearish,os,s1-s2,buy
304,param2,bearish,os,s2-s3,buy
305,param2,bearish,os,< s3,buy
306,param2,bearish,nu,> r3,buy
307,param2,bearish,nu,r3-r2,buy
308,param2,bearish,nu,r2-pdh,buy
309,param2,bearish,nu,r2-r1,buy
310,param2,bearish,nu,pdh-r1,buy
311,param2,bearish,nu,r1-pdh,buy
312,param2,bearish,nu,r1-tc,buy
313,param2,bearish,nu,pdh-tc,buy
314,param2,bearish,nu,tc-pp,buy
315,param2,bearish,nu,pp-bc,sell
316,param2,bearish,nu,bc-pdl,sell
