para,candle,stoch,level,signal,cpr
param3,bearish,os,pdl-s1,no_trade,
param3,bearish,os,s1-pdl,no_trade,
param3,bearish,os,pdl-s2,no_trade,
param3,bearish,os,s1-s2,no_trade,
param3,bearish,os,s2-s3,no_trade,
param3,bearish,os,< s3,no_trade,
param3,bearish,nu,> r3,no_trade,
param3,bearish,nu,r3-r2,no_trade,
param3,bearish,nu,r2-pdh,no_trade,
param3,bearish,nu,r2-r1,no_trade,
param3,bearish,nu,pdh-r1,no_trade,
param3,bearish,nu,r1-pdh,no_trade,
param3,bearish,nu,r1-tc,buy,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param3,bearish,nu,pdh-tc,no_trade,
param3,bearish,nu,tc-pp,no_trade,
param3,bearish,nu,pp-bc,sell,sl will be 15 min close below vwap then take reversal trade  sl will be high of entry candle on 15 min close
param3,bearish,nu,bc-pdl,buy,
param3,bearish,nu,bc-s1,no_trade,
param3,bearish,nu,pdl-s1,sell,
param3,bearish,nu,s1-pdl,no_trade,
param3,bearish,nu,pdl-s2,no_trade,
param3,bearish,nu,s1-s2,no_trade,
param3,bearish,nu,s2-s3,no_trade,
param3,bearish,nu,< s3,no_trade,
param4,bullish,ob,> r3,no_trade,
param4,bullish,ob,r3-r2,no_trade,
param4,bullish,ob,r2-pdh,no_trade,
param4,bullish,ob,r2-r1,no_trade,
param4,bullish,ob,pdh-r1,no_trade,
param4,bullish,ob,r1-pdh,no_trade,
param4,bullish,ob,r1-tc,no_trade,
param4,bullish,ob,pdh-tc,no_trade,
param4,bullish,ob,tc-pp,no_trade,
param4,bullish,ob,pp-bc,no_trade,
param4,bullish,ob,bc-pdl,sell,
param4,bullish,ob,bc-s1,no_trade,
param4,bullish,ob,pdl-s1,no_trade,
param4,bullish,ob,s1-pdl,no_trade,
param4,bullish,ob,pdl-s2,no_trade,
param4,bullish,ob,s1-s2,buy,
param4,bullish,ob,s2-s3,no_trade,
param4,bullish,ob,< s3,no_trade,
param4,bullish,os,> r3,no_trade,
param4,bullish,os,r3-r2,no_trade,
param4,bullish,os,r2-pdh,no_trade,
param4,bullish,os,r2-r1,no_trade,
param4,bullish,os,pdh-r1,no_trade,
param4,bullish,os,r1-pdh,no_trade,
param4,bullish,os,r1-tc,no_trade,
param4,bullish,os,pdh-tc,no_trade,
param4,bullish,os,tc-pp,no_trade,
param4,bullish,os,pp-bc,no_trade,
param4,bullish,os,bc-pdl,no_trade,
param4,bullish,os,bc-s1,no_trade,
param4,bullish,os,pdl-s1,no_trade,
param4,bullish,os,s1-pdl,no_trade,
param4,bullish,os,pdl-s2,no_trade,
param4,bullish,os,s1-s2,no_trade,
param4,bullish,os,s2-s3,no_trade,
param4,bullish,os,< s3,no_trade,
param4,bullish,nu,> r3,no_trade,
param4,bullish,nu,r3-r2,no_trade,
param4,bullish,nu,r2-pdh,no_trade,
param4,bullish,nu,r2-r1,no_trade,
param4,bullish,nu,pdh-r1,no_trade,
param4,bullish,nu,r1-pdh,no_trade,
param4,bullish,nu,r1-tc,no_trade,
param4,bullish,nu,pdh-tc,sell,
param4,bullish,nu,tc-pp,no_trade,
param4,bullish,nu,pp-bc,no_trade,
param4,bullish,nu,bc-pdl,no_trade,
param4,bullish,nu,bc-s1,buy,
param4,bullish,nu,pdl-s1,no_trade,
param4,bullish,nu,s1-pdl,sell,
param4,bullish,nu,pdl-s2,no_trade,
param4,bullish,nu,s1-s2,buy,
param4,bullish,nu,s2-s3,no_trade,
param4,bullish,nu,< s3,no_trade,
param4,bearish,ob,> r3,no_trade,
param4,bearish,ob,r3-r2,no_trade,
param4,bearish,ob,r2-pdh,no_trade,
param4,bearish,ob,r2-r1,no_trade,
param4,bearish,ob,pdh-r1,no_trade,
param4,bearish,ob,r1-pdh,no_trade,
param4,bearish,ob,r1-tc,no_trade,
param4,bearish,ob,pdh-tc,no_trade,
param4,bearish,ob,tc-pp,no_trade,
param4,bearish,ob,pp-bc,no_trade,
param4,bearish,ob,bc-pdl,no_trade,
param4,bearish,ob,bc-s1,no_trade,
param4,bearish,ob,pdl-s1,no_trade,
param4,bearish,ob,s1-pdl,no_trade,
param4,bearish,ob,pdl-s2,no_trade,
param4,bearish,ob,s1-s2,no_trade,
param4,bearish,ob,s2-s3,no_trade,
param4,bearish,ob,< s3,no_trade,
param4,bearish,os,> r3,no_trade,
param4,bearish,os,r3-r2,no_trade,
param4,bearish,os,r2-pdh,no_trade,
param4,bearish,os,r2-r1,no_trade,
param4,bearish,os,pdh-r1,no_trade,
param4,bearish,os,r1-pdh,buy,
param4,bearish,os,r1-tc,no_trade,
param4,bearish,os,pdh-tc,no_trade,
param4,bearish,os,tc-pp,sell,
param4,bearish,os,pp-bc,no_trade,
param4,bearish,os,bc-pdl,sell,sl will be 15 min close abv vwap then take reversal trade  sl will be low of entry candle on 15 min close
param4,bearish,os,bc-s1,buy,
param4,bearish,os,pdl-s1,buy,
param4,bearish,os,s1-pdl,sell,sl will be 15 min close abv vwap then take reversal trade  sl will be low of entry candle on 15 min close
