,yesterdays_candle,todays_candle,condition,candle_type,script
210,pdl-s1,bc-s1,sell,bearish,nifty
211,s1-pdl,bc-s1,buy,bearish,nifty
212,pdl-s2,bc-s1,buy,bearish,nifty
213,s1-s2,bc-s1,buy,bearish,nifty
214,s2-s3,bc-s1,buy,bearish,nifty
215,< s3,bc-s1,buy,bearish,nifty
216,> r3,pdl-s1,buy,bearish,nifty
217,r3-r2,pdl-s1,buy,bearish,nifty
218,r2-pdh,pdl-s1,buy,bearish,nifty
219,r2-r1,pdl-s1,buy,bearish,nifty
220,pdh-r1,pdl-s1,buy,bearish,nifty
221,r1-pdh,pdl-s1,buy,bearish,nifty
222,r1-tc,pdl-s1,buy,bearish,nifty
223,pdh-tc,pdl-s1,buy,bearish,nifty
224,tc-pp,pdl-s1,buy,bearish,nifty
225,pp-bc,pdl-s1,buy,bearish,nifty
226,bc-pdl,pdl-s1,buy,bearish,nifty
227,bc-s1,pdl-s1,buy,bearish,nifty
228,pdl-s1,pdl-s1,buy,bearish,nifty
229,s1-pdl,pdl-s1,sell,bearish,nifty
230,pdl-s2,pdl-s1,sell,bearish,nifty
231,s1-s2,pdl-s1,buy,bearish,nifty
232,s2-s3,pdl-s1,sell,bearish,nifty
233,< s3,pdl-s1,buy,bearish,nifty
234,> r3,s1-pdl,buy,bearish,nifty
235,r3-r2,s1-pdl,buy,bearish,nifty
236,r2-pdh,s1-pdl,buy,bearish,nifty
237,r2-r1,s1-pdl,buy,bearish,nifty
238,pdh-r1,s1-pdl,buy,bearish,nifty
239,r1-pdh,s1-pdl,buy,bearish,nifty
240,r1-tc,s1-pdl,buy,bearish,nifty
241,pdh-tc,s1-pdl,sell,bearish,nifty
242,tc-pp,s1-pdl,buy,bearish,nifty
243,pp-bc,s1-pdl,buy,bearish,nifty
244,bc-pdl,s1-pdl,buy,bearish,nifty
245,bc-s1,s1-pdl,buy,bearish,nifty
246,pdl-s1,s1-pdl,buy,bearish,nifty
247,s1-pdl,s1-pdl,buy,bearish,nifty
248,pdl-s2,s1-pdl,buy,bearish,nifty
249,s1-s2,s1-pdl,buy,bearish,nifty
250,s2-s3,s1-pdl,sell,bearish,nifty
251,< s3,s1-pdl,buy,bearish,nifty
252,> r3,pdl-s2,buy,bearish,nifty
253,r3-r2,pdl-s2,buy,bearish,nifty
254,r2-pdh,pdl-s2,buy,bearish,nifty
255,r2-r1,pdl-s2,buy,bearish,nifty
256,pdh-r1,pdl-s2,buy,bearish,nifty
257,r1-pdh,pdl-s2,buy,bearish,nifty
258,r1-tc,pdl-s2,buy,bearish,nifty
259,pdh-tc,pdl-s2,buy,bearish,nifty
260,tc-pp,pdl-s2,buy,bearish,nifty
261,pp-bc,pdl-s2,buy,bearish,nifty
262,bc-pdl,pdl-s2,buy,bearish,nifty
263,bc-s1,pdl-s2,buy,bearish,nifty
264,pdl-s1,pdl-s2,buy,bearish,nifty
265,s1-pdl,pdl-s2,buy,bearish,nifty
266,pdl-s2,pdl-s2,buy,bearish,nifty
267,s1-s2,pdl-s2,buy,bearish,nifty
268,s2-s3,pdl-s2,buy,bearish,nifty
269,< s3,pdl-s2,buy,bearish,nifty
270,> r3,s1-s2,buy,bearish,nifty
271,r3-r2,s1-s2,buy,bearish,nifty
272,r2-pdh,s1-s2,buy,bearish,nifty
273,r2-r1,s1-s2,buy,bearish,nifty
274,pdh-r1,s1-s2,buy,bearish,nifty
275,r1-pdh,s1-s2,buy,bearish,nifty
276,r1-tc,s1-s2,buy,bearish,nifty
277,pdh-tc,s1-s2,buy,bearish,nifty
278,tc-pp,s1-s2,buy,bearish,nifty
279,pp-bc,s1-s2,buy,bearish,nifty
280,bc-pdl,s1-s2,buy,bearish,nifty
281,bc-s1,s1-s2,sell,bearish,nifty
282,pdl-s1,s1-s2,buy,bearish,nifty
283,s1-pdl,s1-s2,sell,bearish,nifty
284,pdl-s2,s1-s2,buy,bearish,nifty
285,s1-s2,s1-s2,buy,bearish,nifty
286,s2-s3,s1-s2,buy,bearish,nifty
287,< s3,s1-s2,buy,bearish,nifty
288,> r3,s2-s3,buy,bearish,nifty
289,r3-r2,s2-s3,buy,bearish,nifty
290,r2-pdh,s2-s3,buy,bearish,nifty
291,r2-r1,s2-s3,buy,bearish,nifty
292,pdh-r1,s2-s3,buy,bearish,nifty
293,r1-pdh,s2-s3,buy,bearish,nifty
294,r1-tc,s2-s3,buy,bearish,nifty
295,pdh-tc,s2-s3,buy,bearish,nifty
296,tc-pp,s2-s3,buy,bearish,nifty
297,pp-bc,s2-s3,buy,bearish,nifty
298,bc-pdl,s2-s3,buy,bearish,nifty
299,bc-s1,s2-s3,buy,bearish,nifty
300,pdl-s1,s2-s3,buy,bearish,nifty
301,s1-pdl,s2-s3,buy,bearish,nifty
302,pdl-s2,s2-s3,buy,bearish,nifty
303,s1-s2,s2-s3,buy,bearish,nifty
304,s2-s3,s2-s3,sell,bearish,nifty
305,< s3,s2-s3,buy,bearish,nifty
306,> r3,< s3,no_trade,bearish,nifty
307,r3-r2,< s3,no_trade,bearish,nifty
308,r2-pdh,< s3,no_trade,bearish,nifty
309,r2-r1,< s3,no_trade,bearish,nifty
310,pdh-r1,< s3,no_trade,bearish,nifty
311,r1-pdh,< s3,no_trade,bearish,nifty
312,r1-tc,< s3,no_trade,bearish,nifty
313,pdh-tc,< s3,no_trade,bearish,nifty
314,tc-pp,< s3,no_trade,bearish,nifty
315,pp-bc,< s3,no_trade,bearish,nifty
316,bc-pdl,< s3,no_trade,bearish,nifty
317,bc-s1,< s3,no_trade,bearish,nifty
318,pdl-s1,< s3,no_trade,bearish,nifty
319,s1-pdl,< s3,no_trade,bearish,nifty
320,pdl-s2,< s3,no_trade,bearish,nifty
321,s1-s2,< s3,no_trade,bearish,nifty
322,s2-s3,< s3,no_trade,bearish,nifty
323,< s3,< s3,no_trade,bearish,nifty
324,> r3,> r3,no_trade,bullish,nifty
325,r3-r2,> r3,no_trade,bullish,nifty
326,r2-pdh,> r3,no_trade,bullish,nifty
327,r2-r1,> r3,no_trade,bullish,nifty
328,pdh-r1,> r3,no_trade,bullish,nifty
329,r1-pdh,> r3,no_trade,bullish,nifty
330,r1-tc,> r3,no_trade,bullish,nifty
331,pdh-tc,> r3,no_trade,bullish,nifty
332,tc-pp,> r3,no_trade,bullish,nifty
333,pp-bc,> r3,no_trade,bullish,nifty
334,bc-pdl,> r3,no_trade,bullish,nifty
335,bc-s1,> r3,no_trade,bullish,nifty
336,pdl-s1,> r3,no_trade,bullish,nifty
337,s1-pdl,> r3,no_trade,bullish,nifty
338,pdl-s2,> r3,no_trade,bullish,nifty
339,s1-s2,> r3,no_trade,bullish,nifty
340,s2-s3,> r3,no_trade,bullish,nifty
341,< s3,> r3,no_trade,bullish,nifty
342,> r3,r3-r2,sell,bullish,nifty
343,r3-r2,r3-r2,sell,bullish,nifty
344,r2-pdh,r3-r2,sell,bullish,nifty
345,r2-r1,r3-r2,buy,bullish,nifty
346,pdh-r1,r3-r2,buy,bullish,nifty
347,r1-pdh,r3-r2,sell,bullish,nifty
348,r1-tc,r3-r2,sell,bullish,nifty
349,pdh-tc,r3-r2,sell,bullish,nifty
350,tc-pp,r3-r2,sell,bullish,nifty
351,pp-bc,r3-r2,sell,bullish,nifty
352,bc-pdl,r3-r2,sell,bullish,nifty
353,bc-s1,r3-r2,sell,bullish,nifty
354,pdl-s1,r3-r2,sell,bullish,nifty
355,s1-pdl,r3-r2,sell,bullish,nifty
356,pdl-s2,r3-r2,sell,bullish,nifty
357,s1-s2,r3-r2,buy,bullish,nifty
358,s2-s3,r3-r2,sell,bullish,nifty
359,< s3,r3-r2,sell,bullish,nifty
360,> r3,r2-pdh,sell,bullish,nifty
361,r3-r2,r2-pdh,sell,bullish,nifty
362,r2-pdh,r2-pdh,sell,bullish,nifty
363,r2-r1,r2-pdh,buy,bullish,nifty
364,pdh-r1,r2-pdh,sell,bullish,nifty
365,r1-pdh,r2-pdh,sell,bullish,nifty
366,r1-tc,r2-pdh,sell,bullish,nifty
367,pdh-tc,r2-pdh,sell,bullish,nifty
368,tc-pp,r2-pdh,buy,bullish,nifty
369,pp-bc,r2-pdh,sell,bullish,nifty
370,bc-pdl,r2-pdh,sell,bullish,nifty
371,bc-s1,r2-pdh,sell,bullish,nifty
372,pdl-s1,r2-pdh,sell,bullish,nifty
373,s1-pdl,r2-pdh,sell,bullish,nifty
374,pdl-s2,r2-pdh,sell,bullish,nifty
375,s1-s2,r2-pdh,sell,bullish,nifty
376,s2-s3,r2-pdh,buy,bullish,nifty
377,< s3,r2-pdh,sell,bullish,nifty
378,> r3,r2-r1,sell,bullish,nifty
379,r3-r2,r2-r1,sell,bullish,nifty
380,r2-pdh,r2-r1,sell,bullish,nifty
381,r2-r1,r2-r1,sell,bullish,nifty
382,pdh-r1,r2-r1,sell,bullish,nifty
383,r1-pdh,r2-r1,sell,bullish,nifty
384,r1-tc,r2-r1,sell,bullish,nifty
385,pdh-tc,r2-r1,sell,bullish,nifty
386,tc-pp,r2-r1,sell,bullish,nifty
387,pp-bc,r2-r1,sell,bullish,nifty
388,bc-pdl,r2-r1,sell,bullish,nifty
389,bc-s1,r2-r1,sell,bullish,nifty
390,pdl-s1,r2-r1,sell,bullish,nifty
391,s1-pdl,r2-r1,sell,bullish,nifty
392,pdl-s2,r2-r1,sell,bullish,nifty
393,s1-s2,r2-r1,sell,bullish,nifty
394,s2-s3,r2-r1,sell,bullish,nifty
395,< s3,r2-r1,sell,bullish,nifty
396,> r3,pdh-r1,sell,bullish,nifty
397,r3-r2,pdh-r1,sell,bullish,nifty
398,r2-pdh,pdh-r1,sell,bullish,nifty
399,r2-r1,pdh-r1,sell,bullish,nifty
400,pdh-r1,pdh-r1,buy,bullish,nifty
401,r1-pdh,pdh-r1,sell,bullish,nifty
402,r1-tc,pdh-r1,sell,bullish,nifty
403,pdh-tc,pdh-r1,sell,bullish,nifty
404,tc-pp,pdh-r1,sell,bullish,nifty
405,pp-bc,pdh-r1,sell,bullish,nifty
406,bc-pdl,pdh-r1,sell,bullish,nifty
407,bc-s1,pdh-r1,sell,bullish,nifty
408,pdl-s1,pdh-r1,sell,bullish,nifty
409,s1-pdl,pdh-r1,sell,bullish,nifty
410,pdl-s2,pdh-r1,sell,bullish,nifty
411,s1-s2,pdh-r1,sell,bullish,nifty
412,s2-s3,pdh-r1,sell,bullish,nifty
413,< s3,pdh-r1,sell,bullish,nifty
414,> r3,r1-pdh,sell,bullish,nifty
415,r3-r2,r1-pdh,sell,bullish,nifty
416,r2-pdh,r1-pdh,sell,bullish,nifty
417,r2-r1,r1-pdh,sell,bullish,nifty
418,pdh-r1,r1-pdh,sell,bullish,nifty
419,r1-pdh,r1-pdh,sell,bullish,nifty
420,r1-tc,r1-pdh,sell,bullish,nifty
421,pdh-tc,r1-pdh,sell,bullish,nifty
422,tc-pp,r1-pdh,sell,bullish,nifty
423,pp-bc,r1-pdh,sell,bullish,nifty
424,bc-pdl,r1-pdh,buy,bullish,nifty
425,bc-s1,r1-pdh,sell,bullish,nifty
426,pdl-s1,r1-pdh,sell,bullish,nifty
427,s1-pdl,r1-pdh,sell,bullish,nifty
428,pdl-s2,r1-pdh,sell,bullish,nifty
429,s1-s2,r1-pdh,sell,bullish,nifty
430,s2-s3,r1-pdh,sell,bullish,nifty
431,< s3,r1-pdh,sell,bullish,nifty
432,> r3,r1-tc,sell,bullish,nifty
433,r3-r2,r1-tc,sell,bullish,nifty
434,r2-pdh,r1-tc,buy,bullish,nifty
435,r2-r1,r1-tc,sell,bullish,nifty
436,pdh-r1,r1-tc,sell,bullish,nifty
437,r1-pdh,r1-tc,buy,bullish,nifty
438,r1-tc,r1-tc,sell,bullish,nifty
439,pdh-tc,r1-tc,sell,bullish,nifty
440,tc-pp,r1-tc,sell,bullish,nifty
441,pp-bc,r1-tc,sell,bullish,nifty
442,bc-pdl,r1-tc,sell,bullish,nifty
443,bc-s1,r1-tc,sell,bullish,nifty
444,pdl-s1,r1-tc,sell,bullish,nifty
445,s1-pdl,r1-tc,sell,bullish,nifty
446,pdl-s2,r1-tc,sell,bullish,nifty
447,s1-s2,r1-tc,buy,bullish,nifty
448,s2-s3,r1-tc,sell,bullish,nifty
449,< s3,r1-tc,sell,bullish,nifty
450,> r3,pdh-tc,sell,bullish,nifty
451,r3-r2,pdh-tc,sell,bullish,nifty
452,r2-pdh,pdh-tc,sell,bullish,nifty
453,r2-r1,pdh-tc,sell,bullish,nifty
454,pdh-r1,pdh-tc,sell,bullish,nifty
455,r1-pdh,pdh-tc,sell,bullish,nifty
456,r1-tc,pdh-tc,sell,bullish,nifty
