,yesterdays_candle,todays_candle,condition,candle_type,script
1065,r2-r1,r1-pdh,sell,bearish,banknifty
1066,pdh-r1,r1-pdh,sell,bearish,banknifty
1067,r1-pdh,r1-pdh,sell,bearish,banknifty
1068,r1-tc,r1-pdh,sell,bearish,banknifty
1069,pdh-tc,r1-pdh,sell,bearish,banknifty
1070,tc-pp,r1-pdh,buy,bearish,banknifty
1071,pp-bc,r1-pdh,sell,bearish,banknifty
1072,bc-pdl,r1-pdh,sell,bearish,banknifty
1073,bc-s1,r1-pdh,sell,bearish,banknifty
1074,pdl-s1,r1-pdh,sell,bearish,banknifty
1075,s1-pdl,r1-pdh,sell,bearish,banknifty
1076,pdl-s2,r1-pdh,sell,bearish,banknifty
1077,s1-s2,r1-pdh,sell,bearish,banknifty
1078,s2-s3,r1-pdh,sell,bearish,banknifty
1079,< s3,r1-pdh,sell,bearish,banknifty
1080,> r3,r1-tc,sell,bearish,banknifty
1081,r3-r2,r1-tc,sell,bearish,banknifty
1082,r2-pdh,r1-tc,sell,bearish,banknifty
1083,r2-r1,r1-tc,sell,bearish,banknifty
1084,pdh-r1,r1-tc,sell,bearish,banknifty
1085,r1-pdh,r1-tc,sell,bearish,banknifty
1086,r1-tc,r1-tc,sell,bearish,banknifty
1087,pdh-tc,r1-tc,sell,bearish,banknifty
1088,tc-pp,r1-tc,buy,bearish,banknifty
1089,pp-bc,r1-tc,sell,bearish,banknifty
1090,bc-pdl,r1-tc,sell,bearish,banknifty
1091,bc-s1,r1-tc,sell,bearish,banknifty
1092,pdl-s1,r1-tc,sell,bearish,banknifty
1093,s1-pdl,r1-tc,sell,bearish,banknifty
1094,pdl-s2,r1-tc,sell,bearish,banknifty
1095,s1-s2,r1-tc,sell,bearish,banknifty
1096,s2-s3,r1-tc,sell,bearish,banknifty
1097,< s3,r1-tc,sell,bearish,banknifty
1098,> r3,pdh-tc,sell,bearish,banknifty
1099,r3-r2,pdh-tc,sell,bearish,banknifty
1100,r2-pdh,pdh-tc,sell,bearish,banknifty
1101,r2-r1,pdh-tc,sell,bearish,banknifty
1102,pdh-r1,pdh-tc,sell,bearish,banknifty
1103,r1-pdh,pdh-tc,buy,bearish,banknifty
1104,r1-tc,pdh-tc,sell,bearish,banknifty
1105,pdh-tc,pdh-tc,buy,bearish,banknifty
1106,tc-pp,pdh-tc,sell,bearish,banknifty
1107,pp-bc,pdh-tc,sell,bearish,banknifty
1108,bc-pdl,pdh-tc,sell,bearish,banknifty
1109,bc-s1,pdh-tc,sell,bearish,banknifty
1110,pdl-s1,pdh-tc,sell,bearish,banknifty
1111,s1-pdl,pdh-tc,sell,bearish,banknifty
1112,pdl-s2,pdh-tc,sell,bearish,banknifty
1113,s1-s2,pdh-tc,sell,bearish,banknifty
1114,s2-s3,pdh-tc,sell,bearish,banknifty
1115,< s3,pdh-tc,sell,bearish,banknifty
1116,> r3,tc-pp,sell,bearish,banknifty
1117,r3-r2,tc-pp,sell,bearish,banknifty
1118,r2-pdh,tc-pp,sell,bearish,banknifty
1119,r2-r1,tc-pp,sell,bearish,banknifty
1120,pdh-r1,tc-pp,sell,bearish,banknifty
1121,r1-pdh,tc-pp,sell,bearish,banknifty
1122,r1-tc,tc-pp,sell,bearish,banknifty
1123,pdh-tc,tc-pp,sell,bearish,banknifty
1124,tc-pp,tc-pp,sell,bearish,banknifty
1125,pp-bc,tc-pp,sell,bearish,banknifty
1126,bc-pdl,tc-pp,sell,bearish,banknifty
1127,bc-s1,tc-pp,sell,bearish,banknifty
1128,pdl-s1,tc-pp,sell,bearish,banknifty
1129,s1-pdl,tc-pp,sell,bearish,banknifty
1130,pdl-s2,tc-pp,sell,bearish,banknifty
1131,s1-s2,tc-pp,sell,bearish,banknifty
1132,s2-s3,tc-pp,sell,bearish,banknifty
1133,< s3,tc-pp,sell,bearish,banknifty
1134,> r3,pp-bc,buy,bearish,banknifty
1135,r3-r2,pp-bc,buy,bearish,banknifty
1136,r2-pdh,pp-bc,buy,bearish,banknifty
1137,r2-r1,pp-bc,buy,bearish,banknifty
1138,pdh-r1,pp-bc,buy,bearish,banknifty
1139,r1-pdh,pp-bc,sell,bearish,banknifty
1140,r1-tc,pp-bc,buy,bearish,banknifty
1141,pdh-tc,pp-bc,sell,bearish,banknifty
1142,tc-pp,pp-bc,buy,bearish,banknifty
1143,pp-bc,pp-bc,buy,bearish,banknifty
1144,bc-pdl,pp-bc,buy,bearish,banknifty
1145,bc-s1,pp-bc,buy,bearish,banknifty
1146,pdl-s1,pp-bc,buy,bearish,banknifty
1147,s1-pdl,pp-bc,buy,bearish,banknifty
1148,pdl-s2,pp-bc,buy,bearish,banknifty
1149,s1-s2,pp-bc,buy,bearish,banknifty
1150,s2-s3,pp-bc,buy,bearish,banknifty
1151,< s3,pp-bc,buy,bearish,banknifty
1152,> r3,bc-pdl,buy,bearish,banknifty
1153,r3-r2,bc-pdl,buy,bearish,banknifty
1154,r2-pdh,bc-pdl,buy,bearish,banknifty
1155,r2-r1,bc-pdl,buy,bearish,banknifty
1156,pdh-r1,bc-pdl,buy,bearish,banknifty
1157,r1-pdh,bc-pdl,buy,bearish,banknifty
1158,r1-tc,bc-pdl,buy,bearish,banknifty
1159,pdh-tc,bc-pdl,sell,bearish,banknifty
1160,tc-pp,bc-pdl,buy,bearish,banknifty
1161,pp-bc,bc-pdl,buy,bearish,banknifty
1162,bc-pdl,bc-pdl,buy,bearish,banknifty
1163,bc-s1,bc-pdl,buy,bearish,banknifty
1164,pdl-s1,bc-pdl,buy,bearish,banknifty
1165,s1-pdl,bc-pdl,buy,bearish,banknifty
1166,pdl-s2,bc-pdl,buy,bearish,banknifty
1167,s1-s2,bc-pdl,buy,bearish,banknifty
1168,s2-s3,bc-pdl,buy,bearish,banknifty
1169,< s3,bc-pdl,buy,bearish,banknifty
1170,> r3,bc-s1,buy,bearish,banknifty
1171,r3-r2,bc-s1,buy,bearish,banknifty
1172,r2-pdh,bc-s1,buy,bearish,banknifty
1173,r2-r1,bc-s1,sell,bearish,banknifty
1174,pdh-r1,bc-s1,buy,bearish,banknifty
1175,r1-pdh,bc-s1,buy,bearish,banknifty
1176,r1-tc,bc-s1,buy,bearish,banknifty
1177,pdh-tc,bc-s1,buy,bearish,banknifty
1178,tc-pp,bc-s1,buy,bearish,banknifty
1179,pp-bc,bc-s1,buy,bearish,banknifty
1180,bc-pdl,bc-s1,buy,bearish,banknifty
1181,bc-s1,bc-s1,buy,bearish,banknifty
1182,pdl-s1,bc-s1,buy,bearish,banknifty
1183,s1-pdl,bc-s1,buy,bearish,banknifty
1184,pdl-s2,bc-s1,buy,bearish,banknifty
1185,s1-s2,bc-s1,buy,bearish,banknifty
1186,s2-s3,bc-s1,buy,bearish,banknifty
1187,< s3,bc-s1,buy,bearish,banknifty
1188,> r3,pdl-s1,buy,bearish,banknifty
1189,r3-r2,pdl-s1,buy,bearish,banknifty
1190,r2-pdh,pdl-s1,buy,bearish,banknifty
1191,r2-r1,pdl-s1,buy,bearish,banknifty
1192,pdh-r1,pdl-s1,buy,bearish,banknifty
1193,r1-pdh,pdl-s1,buy,bearish,banknifty
1194,r1-tc,pdl-s1,buy,bearish,banknifty
1195,pdh-tc,pdl-s1,buy,bearish,banknifty
1196,tc-pp,pdl-s1,buy,bearish,banknifty
1197,pp-bc,pdl-s1,buy,bearish,banknifty
1198,bc-pdl,pdl-s1,buy,bearish,banknifty
1199,bc-s1,pdl-s1,sell,bearish,banknifty
1200,pdl-s1,pdl-s1,buy,bearish,banknifty
1201,s1-pdl,pdl-s1,buy,bearish,banknifty
1202,pdl-s2,pdl-s1,buy,bearish,banknifty
1203,s1-s2,pdl-s1,buy,bearish,banknifty
1204,s2-s3,pdl-s1,buy,bearish,banknifty
1205,< s3,pdl-s1,buy,bearish,banknifty
1206,> r3,s1-pdl,buy,bearish,banknifty
1207,r3-r2,s1-pdl,buy,bearish,banknifty
1208,r2-pdh,s1-pdl,sell,bearish,banknifty
1209,r2-r1,s1-pdl,buy,bearish,banknifty
1210,pdh-r1,s1-pdl,buy,bearish,banknifty
1211,r1-pdh,s1-pdl,buy,bearish,banknifty
1212,r1-tc,s1-pdl,buy,bearish,banknifty
1213,pdh-tc,s1-pdl,buy,bearish,banknifty
1214,tc-pp,s1-pdl,buy,bearish,banknifty
1215,pp-bc,s1-pdl,buy,bearish,banknifty
1216,bc-pdl,s1-pdl,buy,bearish,banknifty
1217,bc-s1,s1-pdl,buy,bearish,banknifty
1218,pdl-s1,s1-pdl,buy,bearish,banknifty
1219,s1-pdl,s1-pdl,buy,bearish,banknifty
1220,pdl-s2,s1-pdl,buy,bearish,banknifty
1221,s1-s2,s1-pdl,buy,bearish,banknifty
1222,s2-s3,s1-pdl,buy,bearish,banknifty
1223,< s3,s1-pdl,buy,bearish,banknifty
1224,> r3,pdl-s2,buy,bearish,banknifty
1225,r3-r2,pdl-s2,buy,bearish,banknifty
1226,r2-pdh,pdl-s2,buy,bearish,banknifty
1227,r2-r1,pdl-s2,buy,bearish,banknifty
1228,pdh-r1,pdl-s2,buy,bearish,banknifty
1229,r1-pdh,pdl-s2,buy,bearish,banknifty
1230,r1-tc,pdl-s2,buy,bearish,banknifty
1231,pdh-tc,pdl-s2,buy,bearish,banknifty
1232,tc-pp,pdl-s2,buy,bearish,banknifty
1233,pp-bc,pdl-s2,buy,bearish,banknifty
1234,bc-pdl,pdl-s2,buy,bearish,banknifty
1235,bc-s1,pdl-s2,buy,bearish,banknifty
1236,pdl-s1,pdl-s2,buy,bearish,banknifty
1237,s1-pdl,pdl-s2,buy,bearish,banknifty
1238,pdl-s2,pdl-s2,buy,bearish,banknifty
1239,s1-s2,pdl-s2,buy,bearish,banknifty
1240,s2-s3,pdl-s2,buy,bearish,banknifty
1241,< s3,pdl-s2,buy,bearish,banknifty
1242,> r3,s1-s2,buy,bearish,banknifty
1243,r3-r2,s1-s2,buy,bearish,banknifty
1244,r2-pdh,s1-s2,buy,bearish,banknifty
1245,r2-r1,s1-s2,buy,bearish,banknifty
1246,pdh-r1,s1-s2,buy,bearish,banknifty
1247,r1-pdh,s1-s2,buy,bearish,banknifty
1248,r1-tc,s1-s2,buy,bearish,banknifty
1249,pdh-tc,s1-s2,sell,bearish,banknifty
1250,tc-pp,s1-s2,buy,bearish,banknifty
1251,pp-bc,s1-s2,buy,bearish,banknifty
1252,bc-pdl,s1-s2,buy,bearish,banknifty
1253,bc-s1,s1-s2,buy,bearish,banknifty
1254,pdl-s1,s1-s2,buy,bearish,banknifty
1255,s1-pdl,s1-s2,buy,bearish,banknifty
1256,pdl-s2,s1-s2,buy,bearish,banknifty
1257,s1-s2,s1-s2,buy,bearish,banknifty
1258,s2-s3,s1-s2,buy,bearish,banknifty
1259,< s3,s1-s2,buy,bearish,banknifty
1260,> r3,s2-s3,buy,bearish,banknifty
1261,r3-r2,s2-s3,buy,bearish,banknifty
1262,r2-pdh,s2-s3,buy,bearish,banknifty
1263,r2-r1,s2-s3,buy,bearish,banknifty
1264,pdh-r1,s2-s3,buy,bearish,banknifty
1265,r1-pdh,s2-s3,buy,bearish,banknifty
1266,r1-tc,s2-s3,buy,bearish,banknifty
1267,pdh-tc,s2-s3,buy,bearish,banknifty
1268,tc-pp,s2-s3,buy,bearish,banknifty
1269,pp-bc,s2-s3,buy,bearish,banknifty
1270,bc-pdl,s2-s3,buy,bearish,banknifty
1271,bc-s1,s2-s3,sell,bearish,banknifty
1272,pdl-s1,s2-s3,buy,bearish,banknifty
1273,s1-pdl,s2-s3,buy,bearish,banknifty
1274,pdl-s2,s2-s3,buy,bearish,banknifty
1275,s1-s2,s2-s3,buy,bearish,banknifty
1276,s2-s3,s2-s3,buy,bearish,banknifty
1277,< s3,s2-s3,buy,bearish,banknifty
1278,> r3,< s3,no_trade,bearish,banknifty
1279,r3-r2,< s3,no_trade,bearish,banknifty
1280,r2-pdh,< s3,no_trade,bearish,banknifty
1281,r2-r1,< s3,no_trade,bearish,banknifty
1282,pdh-r1,< s3,no_trade,bearish,banknifty
1283,r1-pdh,< s3,no_trade,bearish,banknifty
1284,r1-tc,< s3,no_trade,bearish,banknifty
1285,pdh-tc,< s3,no_trade,bearish,banknifty
1286,tc-pp,< s3,no_trade,bearish,banknifty
1287,pp-bc,< s3,no_trade,bearish,banknifty
1288,bc-pdl,< s3,no_trade,bearish,banknifty
1289,bc-s1,< s3,no_trade,bearish,banknifty
1290,pdl-s1,< s3,no_trade,bearish,banknifty
1291,s1-pdl,< s3,no_trade,bearish,banknifty
1292,pdl-s2,< s3,no_trade,bearish,banknifty
1293,s1-s2,< s3,no_trade,bearish,banknifty
1294,s2-s3,< s3,no_trade,bearish,banknifty
1295,< s3,< s3,no_trade,bearish,banknifty
